["port 2","RIGHT"]
["port 3","RIGHT"]
["port 1","LEFT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(150, 3)
1.8737028625000000e+14 1.8961715673696221e-02 2.3030155968244830e+00
1.8744891415023081e+14 1.7068766785166889e-02 4.0116894654655084e+00
1.8752760806884972e+14 5.2616401878030523e-03 5.1708361748220213e+00
1.8760636808903822e+14 1.2756543610934862e-02 5.9671822105812140e+00
1.8768519429411766e+14 1.4993814217996624e-02 7.7346613039271235e+00
1.8776408676754941e+14 1.2683350390316324e-02 9.3278206889552475e+00
1.8784304559293525e+14 1.2331550259751013e-02 1.0120803114393981e+01
1.8792207085401769e+14 1.8084120294268830e-02 1.1621225897959123e+01
1.8800116263468016e+14 1.4145131212723388e-02 1.3278205321566354e+01
1.8808032101894738e+14 9.6271345039743023e-03 1.4397522772691531e+01
1.8815954609098569e+14 1.6036384536856577e-02 1.6029090373202784e+01
1.8823883793510325e+14 1.5928131642418158e-02 1.7510153973300920e+01
1.8831819663575044e+14 1.0750120918850628e-02 1.8951736404962457e+01
1.8839762227752003e+14 1.1507521106990338e-02 1.9713304768112938e+01
1.8847711494514769e+14 1.4038027533060167e-02 2.1415809150489274e+01
1.8855667472351203e+14 1.1823379052229186e-02 2.3236461893821154e+01
1.8863630169763516e+14 7.2824816173444181e-03 2.4393528627652778e+01
1.8871599595268272e+14 1.1500272790915320e-02 2.5779918650990190e+01
1.8879575757396450e+14 1.1375359712819329e-02 2.7237989236143719e+01
1.8887558664693447e+14 3.9886286675625375e-03 2.9063528666241179e+01
1.8895548325719122e+14 7.5323669087814455e-03 2.9416317619461179e+01
1.8903544749047822e+14 8.7532228455474530e-03 3.1447055029537424e+01
1.8911547943268419e+14 5.9486238730275028e-03 3.3367076662855268e+01
1.8919557916984328e+14 4.4895658449034068e-03 3.2905798272539684e+01
1.8927574678813559e+14 8.5732922448023396e-03 3.5171971621808403e+01
1.8935598237388725e+14 5.3307956254309936e-03 3.7283436789851010e+01
1.8943628601357084e+14 3.1677883407849926e-03 3.6609926159333433e+01
1.8951665779380569e+14 8.3945066567566451e-03 3.8824358052104316e+01
1.8959709780135825e+14 7.1880856779798566e-03 4.1107219048338550e+01
1.8967760612314225e+14 2.9722320641468528e-03 4.1843588884284863e+01
1.8975818284621922e+14 5.0463033660460045e-03 4.2796658359381325e+01
